ITEM_DESCRIPTION,count
Glazed Vitrified Tiles (Other Details Asper Inv & Pkg),243
Glazed Vitrified Tiles (Glazed Porcelaintiles) Other Details As Per Inv & Pl,222
Glazed Porcelain Tiles Other Details Asper Inv & Pl,215
Glazed Porcelain Tile Other Details As Per Inv & Pl,161
Ceramic Glazed Tiles (Size: 12X24) As Per Invoice And Packing List,160
Glazed Vitrified Tiles (Pgvt Vitrified Tiles) Other Detail As Per Inv And Packing List,144
Ceramic Glazed Vitrified Tiles - Other Details As Per Invoice And Packing List,142
Glazed Vitrified Floor Tiles Coloured(Other Details Are As Per Invoice),119
Glazed Vitrified Tiles (Glazed Porcelaintiles) (Other Details As Per Inv & Pl),112
Glazed Porcelain Tiles(Other Details Areas Per Invoice),112
Ceramic Glazed Vitrified Tiles Size : 600 X 1200 Mm,105
Ceramic Glazed Floor Tiles Other Detailsas Per Inv & Pl,102
Ceramic Glaze Floor Tiles Coloured Size: 600 X 1200 Mm (1 Box = 1.44 Sq.Mtr),94
Porcelain Glazed Vitrified Tiles(Other Dlts As Per Inv),90
Glazed Vitrified Tiles(Other Details Areas Per Invoice),90
Glazed Vitrified Tiles (Other Details Asper Invoice),89
Glazed Vitrified Tiles - 600X1200 Mm,84
Ceramic Glaze Floor Tiles Coloured Size: 600 X 600 Mm (1 Box = 1.44 Sq.Mtr),63
Glazed Porcelain Tiles,63
Ceramic Glazed Wall Tiles Other Detailsas Per Inv & Pl,59
Glazed Porcelian Floor Tiles Other Details As Per Inv & Pl,58
Glazed Vitrified Floor Tiles (Other Details As Per Inv & Pl),57
Ceramic Glazed Vitrified Tiles Other Details As Per Inv And Pl,55
Glazed Vitrified Tiles (Size: 800 X 3200Mm),54
Porcelain Glazed Tiles-As Per Invoice,53
Glazed Vitrified Tiles (Size: 600X1200Mm) (Other Details As Per Inv & Pl),52
Ceramic Glazed Vitrified Tiles - Other Details As Per Inv & Pl,51
Glazed Porcelain Tiles (Other Details Asper Invoice & Packing List),51
Glazed Vitrified Tiles (Size: 800 X 2400Mm),51
Porcelain Glazed Vitrified Tiles (Rest As Per Inv),49
Glazed Vitrified Tiles - 800X1600 Mm(Other Details Are As Per Invoice),49
Glazed Vitrified Tiles - 600X1200 Mm (Other Details As Per Inv And Pl),48
Porcelain Glazed Tiles-Details As Per Invoice,48
Glazed Porcelain Floor Tiles Other Details As Per Inv & Pl,46
Glazed Porcelain Tiles ( Other Details As Per Inv & Pl ),46
Ceramic Glazed Vitrified Tiles (Size: 300X600 Mm) (Palletised),45
Glazed Porcelain Tiles (Othr Dtls As Perinv),45
Glazed Vitrified Tiles - Other Details As Per Invoice & Packing List,45
Glazed Vitrified Tiles (Other Det.As Perinv),43
Ceramic Glazed Floor Tiles Size: 396X396Mm (1Box = 0.94 Sqm)(Rest As Per Inv),42
Ceramic Glazed Vitrified Tiles Size:600X900Mm (1Pcsbox=0.54 Sq. Mtr) High Thickness,41
Porcelain Glazed Vitrified Tiles (Otherdlts As Per Inv),41
Polished Glazed Vitrified Tiles (Other Details As Per Invoice).,40
Gvt/Pgvt Vitrified Tiles Other Dtls Asper Inv & P/List,40
Glazed Vitrified Tiles - 600X1200 Mm(Other Details Are As Per Invoice),39
Ceramic Vitrified Tiles Other Details Asper Inv & Pl,37
Digital Glazed Vitrified Tiles (Size: 300 X 600 Mm) (Palletised),36
Digital Printed Glazed Porcelain Tiles Size- 600X1200 Mm Other Details As Per Invoice & Packing List,36
Digital Glazed Vitrified Tiles,35
Ceramic Glazed Wall Tiles (Other Detailsas Per Inv & Pl),35
Ceramic Glazed Vitrified Tiles Other Details As Per Inv,34
Vitrified Tiles Nano Porcelain Tiles (Other Details As Per Inv & Pl),34
Unglazed Vitrified Tiles Other Details As Per Inv & Pl,33
Digital Glazed Porcelain Floor Tiles Coloured (Size:600X1200 Mm) And Other Details As Per Inv And Pl,33
Digital Printed Glazed Porcelain Tiles Size 600X1200 Mm Other Details As Per Invoice And Packing List,33
Glazed Vitrified Tiles Other Details Asper Inv & Pl,33
Glazed Porcelain Tile-Details As Per Invoice,32
Glazed Porcelain Tiles (Other Det.As Perinv),30
Ceramic Glazed Floor Tiles (Other Details As Per Inv & Pl),30
Glazed Porcelain Tiles (Other Details As Per Invoice & P.List),29
Ceramic Glazed Tiles Other Details As Per Inv & Pl,28
Glazed Vitrified Tiles (Size: 800 X 3000Mm),28
